"Succinate"	"Lactate"	"Formate"	"Acetate"	"Propionate"	"Isobutyrate"	"ETOH"	"Butyrate"	"iVal.2MB"	"Valerate"	"Caproate"	"VFA_total_mM"	"branch_mM"	"Acetate_mF"	"Propionate_mF"	"Butyrate_mF"	"Valerate_mF"	"branch_mF"
"Otu000001"	-0.0211201991687275	0.136277028773849	0.346058705356819	-0.31623697997835	-0.24381629754056	-0.185879751590328	0.0208469099612542	-0.253472388532265	-0.354861343945172	-0.0989749326649799	-0.0139771311562922	0.113459069152538	0.161739524111065	-0.161739524111065	0.152083433119359	0.123115160144243	0.0265542502271897	0.142427342127654
"Otu000002"	0.341553240519199	0.088219254498491	-0.230900163005885	0.318493089197269	0.522957788435021	0.0353881210219187	0.207131028578809	0.444317519497424	0.129756443747035	0.314561075750389	0.256120416285941	0.0511161748094382	-0.149416510981435	-0.255580874047191	0.27524094128159	0.153348524428315	0.224124766472152	-0.255580874047191
"Otu000003"	0.0255524553396123	0.0850802126435411	0.414898840827506	-0.183999454817238	-0.0868886314414734	-0.0664442475728914	0.0529658094673411	-0.0664442475728914	-0.265776990291566	0.0971108233757644	0.144266447526004	0.0459998637043095	0.0715553435400369	-0.10222191934291	0.0715553435400369	0.112444111277201	0.0766664395071824	-0.010222191934291
"Otu000004"	-0.289340087497467	-0.282907253303755	0.199917277902411	-0.349146738631999	-0.535105327685998	-0.261860053973999	-0.367061231558524	-0.474384155749999	-0.148007856594	-0.417458057059999	-0.222480461335963	-0.292220639941999	0.015180292984	0.269450200465999	-0.322581225909999	-0.197343808791999	-0.125237417118	0.254269907481999
"Otu000005"	-0.511519943248464	-0.431094761221515	0.116150939934069	0.124892889309152	-0.105678598646206	0.236335775154242	-0.507745537426074	-0.044192868524777	0.317035795938618	-0.297821505275671	-0.614657691806159	-0.0749357335854914	0.174850045032813	0.455378688711832	-0.386207242325225	-0.343935802866743	-0.382364384192636	0.220964342623885
"Otu000006"	-0.156557669948131	-0.0175465601585899	-0.167492596031308	-0.266684625832035	-0.347498148811439	-0.137382989064988	-0.167492596031308	-0.323254091917618	-0.169708398256749	-0.339416796513499	-0.210558721903079	-0.0242440568938213	0.121220284469107	0.0161627045958809	-0.0242440568938213	-0.0969762275752854	-0.0888948752773449	0.210115159746452
"Otu000007"	-0.470825880416004	-0.519718609650635	-0.118603869906994	0.337465153366075	0.027468093878634	0.388477327712109	-0.487970207617347	0.133416455981936	0.494425689815412	-0.306073046076207	-0.613438358931897	-0.00392401341123343	0.313921072898674	0.415945421590743	-0.419869435001977	-0.227592777851539	-0.478729636170478	0.380629300889642
"Otu000008"	-0.00690789623179904	-0.144004608221196	0.439112048671521	-0.143701248692749	-0.187917017521287	0.143701248692749	-0.114550969218658	-0.143701248692749	0.0110539422071345	-0.0442157688285382	-0.144004608221196	-0.0442157688285382	0.0552697110356727	0.12159336427848	-0.154755190899884	0	-0.110539422071345	0.0773775954499418
"Otu000009"	0.39167472590032	0.248129122772926	0.0508866766515588	-0.482118259899919	-0.305341564603282	-0.262486608167734	0.208172768120013	-0.289270955939951	-0.34819652103883	-0.0160706086633306	0.472996140285889	-0.187490434405524	-0.144635477969976	-0.289270955939951	0.224988521286629	0.203561043068855	0.3321259123755	-0.0535686955444354
"Otu000010"	-0.259281489420866	-0.0461972619116825	0.075793606258416	-0.0837777809299107	-0.163566143720302	-0.0598412720927934	-0.16536786820018	-0.139629634883184	-0.0279259269766369	-0.0757989446508716	-0.207887678602571	-0.163566143720302	-0.0438835995347151	0.251333342789732	-0.219417997673576	-0.259312179068771	-0.035904763255676	0.0678201083718325
